Montana,Public,2 Year,2380,2380
Texas,Private,4 Year,34850,34850
Georgia,Public,2 Year,4128,12550
Minnesota,Private,2 Year,17661,17661
California,Private,4 Year,27810,27810
Colorado,Public,4 Year,9440,20456
New York,Private,4 Year,38660,38660
New York,Public,2 Year,5375,9935
Michigan,Private,4 Year,37087,37087
Virginia,Private,2 Year,13680,13680
Florida,Private,4 Year,15150,15150
Georgia,Private,4 Year,41160,41160
South Carolina,Public,2 Year,5160,8010
Colorado,Public,2 Year,2281,13018
Alabama,Public,4 Year,9698,17918
Alabama,Public,2 Year,4440,8880
Alabama,Public,4 Year,11068,19396
North Carolina,Public,2 Year,2310,8070
Alaska,Private,4 Year,9300,9300
Alaska,Private,4 Year,20830,20830
New York,Private,4 Year,35105,35105
Georgia,Public,4 Year,6726,19802
Georgia,Public,2 Year,3246,5916
Connecticut,Private,4 Year,32060,32060
Michigan,Private,4 Year,45775,45775
Pennsylvania,Private,4 Year,45306,45306
Mississippi,Public,4 Year,7144,7144
West Virginia,Private,4 Year,27910,27910
Minnesota,Public,2 Year,5416,5416
New York,Private,4 Year,33484,33484
California,Public,2 Year,1418,7898
Maryland,Public,2 Year,4140,9210
Pennsylvania,Private,4 Year,47540,47540
Ohio,Private,4 Year,6400,6400
Iowa,Private,4 Year,19970,19970
Kansas,Public,2 Year,3150,3150
South Carolina,Private,4 Year,13340,13340
California,Private,4 Year,18000,18000
Michigan,Private,4 Year,40258,40258
Michigan,Public,2 Year,4530,6840
Pennsylvania,Private,4 Year,34885,34885
Wisconsin,Private,4 Year,28302,28302
Texas,Public,2 Year,1998,4818
Texas,Public,2 Year,2670,5880
Texas,Private,4 Year,12840,12840
New York,Private,2 Year,17160,17160
Illinois,Private,4 Year,34100,34100
New York,Private,2 Year,35160,35160
California,Private,2 Year,35160,35160
Tennessee,Private,4 Year,10950,10950
Arizona,Private,4 Year,958,958
Massachusetts,Private,4 Year,35680,35680
California,Private,4 Year,31826,31826
Virginia,Private,2 Year,18735,18735
Virginia,Private,2 Year,18735,18735
Virginia,Private,2 Year,18735,18735
Virginia,Private,2 Year,18735,18735
Virginia,Private,2 Year,18735,18735
Virginia,Private,4 Year,18735,18735
West Virginia,Public,4 Year,8150,8150
California,Public,2 Year,1416,9546
Massachusetts,Private,4 Year,56426,56426
Alabama,Private,4 Year,6900,6900
