Private,1660,1232,721,2885,537,18.1,60
Private,2186,1924,512,2683,1227,12.2,56
Private,1428,1097,336,1036,99,12.9,54
Private,417,349,137,510,63,7.7,59
Private,193,146,55,249,869,11.9,15
Private,587,479,158,678,41,9.4,55
Private,353,340,103,416,230,11.5,63
Private,1899,1720,489,1594,32,13.7,73
Private,1038,839,227,973,306,11.3,80
Private,582,498,172,799,78,11.5,52
Private,1732,1425,472,1830,110,11.3,73
Private,2652,1900,484,1707,44,9.9,76
Private,1179,780,290,1130,638,13.3,74
Private,1267,1080,385,1306,28,15.3,68
Private,494,313,157,1317,1235,11.1,55
Private,1420,1093,220,1018,287,14.7,69
Private,4302,992,418,1593,5,8.4,100
Private,1216,908,423,1819,281,12.1,59
Private,1130,704,322,1586,326,11.5,46
Public,3540,2001,1016,4190,1512,23.1,34
Private,713,661,252,712,23,11.3,48
Public,7313,4664,1910,9940,1035,18.3,70
Private,619,516,219,1251,767,12.7,65
Public,12809,10308,3761,22593,7585,18.9,48
Private,708,334,166,530,182,12.6,54
Public,1734,1729,951,3602,939,19.6,48
Private,2135,1700,491,1708,689,13.8,88
Public,7548,6791,3070,16262,1716,16.7,69
Private,662,513,257,2074,726,12.8,58
Private,1879,1658,497,1950,38,12.7,71
Private,761,725,306,1337,300,10.4,69
Private,948,798,295,1120,15,13.0,71
Private,627,556,172,777,538,22.4,48
Private,602,483,206,958,466,11.0,65
Private,1690,1366,662,2718,1460,17.6,85
Private,261,192,111,453,266,9.7,71
Private,1910,838,285,1004,15,10.4,79
Private,2496,1402,531,2121,69,10.3,91
Private,990,784,279,1811,3144,12.6,72
Private,6075,5349,2367,9919,484,18.5,72
Private,1163,850,348,878,519,12.2,73
Private,807,707,308,1198,605,13.1,84
Private,632,494,129,709,131,13.2,52
Private,1220,974,481,1964,623,11.1,49
Private,1320,923,284,1085,81,11.1,69
Public,1208,877,546,3796,824,19.6,46
Private,632,620,222,702,501,14.1,58
Private,519,327,114,457,2,10.1,55
Private,3466,2330,640,3095,1533,17.5,82
Private,1858,1221,480,1620,49,16.3,63
Private,878,816,200,706,62,11.6,48
Private,202,184,122,537,101,8.8,56
Private,502,384,104,347,74,11.7,35
Private,1646,1150,542,2128,82,13.8,58
Private,805,588,287,1376,207,14.0,72
Private,500,336,156,421,27,14.3,51
Public,6773,3028,1025,5847,946,18.0,75
Private,377,358,181,653,129,17.8,53
Private,692,514,209,760,81,13.3,58
Private,20192,13007,3810,14971,3113,11.9,72
Private,3356,1019,418,1490,8,11.2,96
Public,9251,7333,3076,13699,1213,21.1,67
Private,443,330,151,453,42,10.2,46
Private,3767,3414,1061,4531,643,14.4,85
Private,4186,2743,740,2819,62,9.8,84
Private,367,274,158,917,479,13.7,49
Private,1436,1228,1202,1320,822,12.6,18
Private,392,351,155,738,430,13.1,58
Private,838,673,292,881,55,13.2,82
Private,7365,5402,4615,27378,1253,20.5,33
Private,12586,3239,1462,5643,349,7.6,97
Private,1465,810,313,1088,16,12.3,89
Private,6548,3813,862,3316,31,14.2,93
Private,860,688,285,1928,442,8.8,78
Private,2362,2037,700,2607,148,10.9,83
Private,599,494,224,1035,446,16.5,71
Private,1011,604,213,693,868,13.9,55
Private,563,247,247,1427,432,12.4,60
Public,7811,3817,1650,12911,1404,19.8,59
Public,4540,3294,1483,13494,1254,21.2,61
Private,1784,1512,913,3401,136,14.8,81
Private,2087,1339,657,3191,1204,21.8,63
Private,848,587,298,935,184,17.7,49
Private,2853,2193,753,2978,434,14.6,64
Private,1747,1382,449,1662,960,12.1,83
Private,100,90,35,282,331,12.1,52
Private,2694,1579,489,1870,12,10.4,91
Private,8728,5201,1191,4265,291,9.2,74
Private,1160,991,352,1357,737,17.8,79
Private,1096,951,464,1776,239,13.6,67
Private,1616,1427,434,1405,580,15.9,62
Private,3877,3156,713,3051,513,2.9,67
Public,1257,940,363,1547,294,14.7,79
Private,1083,880,291,915,80,13.5,55
Private,1754,1465,505,2159,211,9.3,75
Private,776,607,198,791,764,11.7,74
Private,1307,1090,616,2196,82,15.3,64
Private,369,312,90,396,526,9.5,24
Private,495,434,210,775,44,11.3,66
